Team Owner,Year,Round,Team From,Swap Owner,Swap Option,Protections,Pick Number,Pick Pool,Rank
Atlanta Hawks,2026,First Round,New Orleans Pelicans,,,,8.0,,
Atlanta Hawks,2026,First Round,Cleveland Cavaliers,,,,23.0,,
Atlanta Hawks,2026,Second Round,Boston Celtics,,,,57.0,,
Atlanta Hawks,2027,Second Round,,,,,,,
Atlanta Hawks,2029,First Round,,,,,,,
Atlanta Hawks,2029,Second Round,Cleveland Cavaliers,,,,,,
Atlanta Hawks,2030,First Round,,,,,,,
Atlanta Hawks,2030,Second Round,,,,,,,
Atlanta Hawks,2030,Second Round,New York Knicks,,,,,,
Atlanta Hawks,2031,First Round,,,,,,,
Atlanta Hawks,2031,Second Round,,,Houston Rockets,56-60 to Boston Celtics,,,
Atlanta Hawks,2032,First Round,,,,,,,
Atlanta Hawks,2032,Second Round,,,,,,,
Atlanta Hawks,2032,Second Round,Los Angeles Lakers,,,,,,
Atlanta Hawks,2027,First Round,,"Milwaukee Bucks, New Orleans Pelicans",,if either or both 5-30,,,
Atlanta Hawks,2028,First Round,,,,,,"ATL, CLE, UTH",More favorable of ATL vs (less favorable of CLE/UTH)
Boston Celtics,2026,First Round,,,,,27.0,,
Boston Celtics,2026,Second Round,Milwaukee Bucks,,,,40.0,,
Boston Celtics,2027,First Round,,,,,,,
Boston Celtics,2030,First Round,,,,,,,
Boston Celtics,2030,Second Round,Charlotte Hornets,,,56-60,,,
Boston Celtics,2031,First Round,,,,,,,
Boston Celtics,2031,Second Round,Houston Rockets,,,56-60,,,
Boston Celtics,2032,Second Round,,,,,,,
Boston Celtics,2028,First Round,,San Antonio Spurs,,1,,,
Boston Celtics,2032,First Round,,,,Frozen through 2027-28,,,
Boston Celtics,2031,Second Round,,,,,,"BOS, CLE",Less favorable
Brooklyn Nets,2026,First Round,,,,,6.0,,
Brooklyn Nets,2026,Second Round,,,,,33.0,,
Brooklyn Nets,2026,Second Round,Los Angeles Clippers,,,,43.0,,
Brooklyn Nets,2027,First Round,,Houston Rockets,,,,,
Brooklyn Nets,2027,First Round,New York Knicks,,,,,,
Brooklyn Nets,2028,Second Round,,,,,,,
Brooklyn Nets,2028,Second Round,Atlanta Hawks,,,,,,
Brooklyn Nets,2028,Second Round,Memphis Grizzlies,,,,,,
Brooklyn Nets,2029,First Round,,,,,,,
Brooklyn Nets,2029,First Round,New York Knicks,,,,,,
Brooklyn Nets,2029,Second Round,,,,,,,
Brooklyn Nets,2029,Second Round,Dallas Mavericks,,,,,,
Brooklyn Nets,2029,Second Round,Golden State Warriors,,,,,,
Brooklyn Nets,2029,Second Round,Memphis Grizzlies,,,,,,
Brooklyn Nets,2030,First Round,,,,,,,
Brooklyn Nets,2030,Second Round,,,,,,,
Brooklyn Nets,2030,Second Round,Boston Celtics,,,,,,
Brooklyn Nets,2030,Second Round,Dallas Mavericks,,,,,,
Brooklyn Nets,2030,Second Round,Los Angeles Lakers,,,,,,
Brooklyn Nets,2031,First Round,,,,,,,
Brooklyn Nets,2031,First Round,New York Knicks,,,,,,
Brooklyn Nets,2031,Second Round,,,,,,,
Brooklyn Nets,2031,Second Round,Los Angeles Lakers,,,,,,
Brooklyn Nets,2032,First Round,,,,,,,
Brooklyn Nets,2032,First Round,Denver Nuggets,,,,,,
Brooklyn Nets,2032,Second Round,,,,,,,
Brooklyn Nets,2032,Second Round,Denver Nuggets,,,,,,
Brooklyn Nets,2032,Second Round,Miami Heat,,,,,,
Brooklyn Nets,2032,Second Round,Toronto Raptors,,,,,,
Brooklyn Nets,2028,First Round,Philadelphia Sixers,,,if PHL 1-8 in 2028,,,
Brooklyn Nets,2029,First Round,,"Dallas Mavericks, Phoenix Suns, Houston Rockets",,,,,
Brooklyn Nets,2028,First Round,,,,,,"BRK, PHL 9-30, PHX, NYK",Most and 3rd most (if PHL 9-30 is 3rd most and NYK is most/2nd most); otherwise most / two most
Brooklyn Nets,2028,First Round,,,,,,"BRK, PHX, NYK",Complement of: least favorable to NYK (if NYK and/or PHL 9-30 less favorable than BRK/PHX); otherwise 2nd most favorable to NYK
Charlotte Hornets,2026,First Round,,,,,14.0,,
Charlotte Hornets,2026,First Round,Orlando Magic,,,,18.0,,
Charlotte Hornets,2027,First Round,,,,,,,
Charlotte Hornets,2027,First Round,Dallas Mavericks,,,3-30,,,
Charlotte Hornets,2027,First Round,Miami Heat,,,15-30,,,
Charlotte Hornets,2028,First Round,,,,,,,
Charlotte Hornets,2028,Second Round,Orlando Magic,,,,,,
Charlotte Hornets,2029,First Round,,,,,,,
Charlotte Hornets,2029,Second Round,,,,,,,
Charlotte Hornets,2030,First Round,,,,,,,
Charlotte Hornets,2031,First Round,,,,,,,
Charlotte Hornets,2031,Second Round,,,,,,,
Charlotte Hornets,2031,Second Round,Milwaukee Bucks,,,,,,
Charlotte Hornets,2031,Second Round,Phoenix Suns,,,,,,
Charlotte Hornets,2032,First Round,,,,,,,
Charlotte Hornets,2032,Second Round,,,,,,,
Charlotte Hornets,2032,Second Round,Milwaukee Bucks,,,,,,
Charlotte Hornets,2027,First Round,Dallas Mavericks,,,1-2 to Dallas Mavericks,,,
Charlotte Hornets,2027,First Round,Miami Heat,,,1-14 to Miami Heat,,,
Charlotte Hornets,2030,Second Round,,,,56-60 to Boston Celtics,,,
Charlotte Hornets,2027,Second Round,,"Boston Celtics, Orlando Magic",,,,,
Charlotte Hornets,2027,Second Round,,,"Portland Trail Blazers, New Orleans Pelicans",,,,
Charlotte Hornets,2029,Second Round,,,"Atlanta Hawks, Miami Heat",,,,
Charlotte Hornets,2030,Second Round,,,"Utah Jazz, Los Angeles Clippers",,,,
Charlotte Hornets,2028,First Round,Miami Heat,,,if not already settled,,,
Charlotte Hornets,2028,Second Round,Miami Heat,,,if DAL does not convey 1st round pick to CHA in 2027,,,
Charlotte Hornets,2029,Second Round,Denver Nuggets,,,if DEN has conveyed a first potential 1st round pick to OKC by 2029,,,
Charlotte Hornets,2029,First Round,,"Utah Jazz, Cleveland Cavaliers, Minnesota Timberwolves",,MIN 6-30,,,
Charlotte Hornets,2028,Second Round,,,,,,"CHA, LAC",More favorable
Chicago Bulls,2026,First Round,,,,,4.0,,
Chicago Bulls,2026,First Round,Portland Trail Blazers,,,,15.0,,
Chicago Bulls,2026,Second Round,New Orleans Pelicans,,,,38.0,,
